job title,company name,location,skills,Job Requirements
ASP.Net Senior Developer,Confidential -,"New Cairo, Cairo, Egypt ",Full timeExperienced · 6 - 8 Yrs of Exp · .NET · Software Development · Information Technology (IT) · ASP.NET · ASP · Computer Science · CORE .Net · IT/Software Development · Engineering - Telecom/Technology,"Creating top-quality applications.,Collaborating with front-end developers.,Ensuring that junior staff deliver according to standards.,Improving functionality.,Using the most updated and appropriate technologies.,Designing and building application layers.,"
Full Stack Web Developer - C# ASP.NET,SGS-UAE,"Smouha, Alexandria, Egypt ",Full timeExperienced · 2 - 9 Yrs of Exp · Information Technology (IT) · Computer Science · .NET · C# · javaScript · Angular · MVC · HTML5 · Engineering · Software Development,"Use design patterns and the company standards in designing software parts.,Work with other developers to determine changes and enhancements in program code.,Design, develop, troubleshoot, debug and implement software products and solutions in accordance with established standards,We look for someone who has real experience in multiple projects with a flexible mindset to join our team,"
Senior ASP.Net Developer,Microtech,"Dokki, Giza, Egypt ",Full timeExperienced · 5 - 7 Yrs of Exp · ASP.Net · MS Visual Studio · C# · Programming · C++ · .Net Framework · ERP · Software Development · Computer Science · SQL,"Documenting Technical design and architecture.,Work with project leaders and business analyst to understand software requirements.,Analyzing and documenting detailed requirements for application components.,Documenting design and technical specifications for components.,Coding application components according to company coding standards.,Executing unit tests. Executing peer reviews.,Documenting components according to company documentation standards.,Analyzing and diagnosing application problems.,Assisting in the development of less experienced developers.,Meeting individual deadlines and contributing towards team objectives.,Learning and becoming efficient with new technologies as dictated by the product strategy.,Putting forward improvement suggestions at any stage of the product life cycle.,Presenting progress reports to his/her supervisor on a regular basis.,Reporting problems, failures, inability to meet deadlines and communications (whether between departments or with customers) to his/her supervisor.,Assisting in the QA Process as required.,"
Junior Web Developer ASP.NET C#,Confidential -,"Mohandessin, Giza, Egypt ",Full timeEntry Level · 1 - 3 Yrs of Exp · Computer Science · ASP.NET · C# · .NET · MVC · javaScript · Information Technology (IT) · Web API · AJAX · CSS,"Be involved and participate in the overall application lifecycle.,The main focus on coding and debugging.,Collaborate with Front-end Tester and implementers.,Develop functional and sustainable web applications with clean codes ethics,Troubleshoot and debug web applications.,Conduct UI tests and optimize performance.,Manage cutting-edge technologies to improve applications.,"
Senior Web Developer ASP.NET C#,Confidential -,"Mohandessin, Giza, Egypt ",Full timeExperienced · 3 - 5 Yrs of Exp · Information Technology (IT) · Computer Science · C# · Software Development · ASP.NET · MVC · .NET · HTML · AJAX · CSS,"Be involved and participate in the overall application lifecycle.,The main focus on coding and debugging.,Collaborate with Front-end Tester and implementers.,Develop functional and sustainable web applications with clean codes ethics,Troubleshoot and debug web applications.,Conduct UI tests and optimize performance.,Manage cutting-edge technologies to improve applications.,"
Senior ASP.NET Developer,MO4 Network,"Downtown, Cairo, Egypt ",Full timeExperienced · 4 - 9 Yrs of Exp · Information Technology (IT) · Software Development · ASP · Troubleshooting · Computer Science · C# · Computer Engineering · FTP Control · .NET · TFS,"Analyze system requirements and prioritize tasks.,Write clean, testable code using .NET programming languages.,Develop technical specifications and architecture.,Will be responsible for the implementation of new web/desktop applications as well as maintaining existing applications.,Design, build, and maintain efficient, reusable, and reliable code.,Integrate data storage solutions such as databases, key-value stores, blob stores, etc.,Ensure the best possible performance, quality, and responsiveness of applications.,Identify bottlenecks and bugs, and devise solutions to mitigate and address these issues.,Support and develop software engineers by providing advice, coaching and educational opportunities,Help maintain code quality, organization, and automation.,"
ASP.NET Full Stack Web Developer (Web Forms),Confidential -,"Nasr City, Cairo, Egypt ",Full timeExperienced · 3 - 5 Yrs of Exp · ASP.NET Web Forms · SQL Server · Crystal Reports · Software Development · ASP.NET · C# · .NET · JavaScript · ADO.NET · LINQ,"Build, test and scalable, highly available and modular software products.,Write clean, scalable code using ASP.Net web form, C#, Entity framework, and LINQ.,Maintain and enhance SOAP-based Web services.,Test and deploy applications and systems.,Deliver the assigned tasks within due time frame and minimum percentage of defects/bugs, ensuring the needed quality of delivery is attained.,Review and debug code Enhance and Maintain the Existing Projects products.,Improve existing software.,Prepare to revamp existing solutions in future. ,"
Full Stack Web Developer – ASP.NET /Angular,Innosoft,"Nasr City, Cairo, Egypt ",Full timeExperienced · 4+ Yrs of Exp · Software Development · javaScript · .NET · MSSQL · Angular · HTML · Information Technology (IT) · IT/Software Development · Engineering - Telecom/Technology,"Write well designed, testable, efficient code by using best software development practices.,Build and Integrate data from various back-end services and databases.,Gather and refine specifications and requirements based on technical needs.,Create and maintain software documentation.,Planning and prototyping new applications,Designing the architecture of the components of an application,Fixing bugs in existing projects,Building and testing Application Program Interfaces (APIs) for applications to exchange data,Staying up to date with new trends and advancements in web development,Building and maintaining databases,"
Full Stack Web Developer (C# / ASP.NET),iucon Egypt,"Dokki, Giza, Egypt ",Full timeExperienced · 4 - 5 Yrs of Exp · NET Core/ MVC · JavaScript · Oracle DB · Web Forms · Asp.Net MVC · .Net Core · Web API · RESTFUL · HTML · CSS,"In the web development team, you will be maintain and extend a web based eProcurement system.,It is currently built on top of an Oracle, ASP.NET WebForms technology stack.,You will monitor, maintain and adjust parts of the web frontend as well as automatically running import tasks implemented in C#.,"
ASP .Net Developer,AqarCloud,"New Cairo, Cairo, Egypt ",Full timeExperienced · 2 - 5 Yrs of Exp · ASP.NET · SQL · MVC · jQuery · Computer Science · Information Technology (IT) · Software Development · ASP · TFS · HTML,"Develop web-based applications and web services using C#/ASP.NET MVC and WCF.,Design and create MS SQL Server databases.,Build reusable code and libraries.,Package and deploy applications according to the project needs.,Work closely with the team to solve technical issues.,"
Full Stack Developer -Asp .Net /Angular,Amanah,"Cairo, Egypt ",Full timeExperienced · 2 - 4 Yrs of Exp · HTML5 · .Net Core · CSS3 · Information Technology (IT) · Computer Science · Software Development · Angular · .NET · SQL · C#,"Perform development tasks .,Handle existing software problems and carry out requested changes.,Participate in the Team meetings.,Writing Documentation according to business needs.,"
Full Stack .Net lead,Flairstech,"Maadi, Cairo, Egypt ",Full timeManager · 5+ Yrs of Exp · Full Stack · CSS · HTML · C# · .NET · Angular JS · Angular · ASP.NET · SQL · Computer Science,"Design, develop, and maintain both new and existing code, ranging from client-side development using JavaScript, HTML, and CSS, to server-side code using C# and ASP.NET MVC, Web API, Windows services, and Angular JS  for data persistence and retrieval. ,Write readable, extensible, testable code, while being mindful of performance requirements. ,Create, maintain, and run unit tests for both new and existing code, with a goal of delivering defect-free and well-tested code to QA.,Work with management to create and adhere to schedules, while maintaining flexibility to adapt to shifting market demands.,Translate mockups and wireframes into functioning front-end code. • Write and maintain documentation for new and existing features. ,Keep up-to-date on best practices and new technologies. • Rapid prototyping, and presenting conceptual design and working prototypes to management. ,Conduct design and code reviews and collaborate to ensure your own code passes review.,Work with Product Management to analyze requirements. ,Collaborate on technical architecture and design.,"
Senior .Net Developer,Paxerahealth Corp,"6th of October, Giza, Egypt ",Full timeExperienced · 3 - 6 Yrs of Exp · Computer Science · Software Development · .NET · Web Development · C# · SQL · MVC · ASP.NET · Test · Software,"Analyze and evaluate existing or proposed systems.,Design solutions to process data, and provide integration with other systems or applications. ,Proactively identify, diagnose, and resolve potential and evident system problems. ,Top level escalation for troubleshooting support to other staff members.,Design and apply new methods and procedures. Develop and test systems, programs, workflows, reports, and databases. Focus on efficiency and effectiveness.,Analyze system requirements and prioritize tasks,Write clean, testable code using .NET programming languages (mainly: C#, ASP.NET),Design, build, and maintain efficient, reusable, and reliable code,Test and debug various .NET applications,Review and refactor code,Deploy fully functional applications,Upgrade existing programs,Support junior developers’ work,"
Senior .NET Developer (Backend),Dexef,"Maadi, Cairo, Egypt ",Full timeExperienced · 4 - 10 Yrs of Exp · Information Technology (IT) · Computer Science · Software Development · Engineering · MVC · Web Development · C# · SQL · ASP.NET · Microservices,"Work in a development team to develop integrated ASP.NET MVC web applications.,Perform advanced programming tasks according to the project plan,Implement tasks following functional specifications,Write well designed, testable and efficient code,Good Technical Research Skills,Participate in the estimation of new features and components,On-time delivery of assigned tasks,Perform unit testing for submitted tasks,Participate in the analysis & design of new functional requirements,"
.Net Developer,National Technology,"Nasr City, Cairo, Egypt ",Full timeEntry Level · 1 - 3 Yrs of Exp · ASP.NET · C# · OOP · javaScript · MVC · SQL · Oracle · TFS · Angular · Computer Science,"Receive the tasks from the team leader to implement.,Develop application codes for software.,Resolve the assigned bugs.,Communicate with quality team concerning bugs issues.,Implement test code before sending to Quality Engineer for testing required.,Assist in searching for new technologies and methodologies to share with the team.,Participate in implementation solutions.,Report module(s) status frequently to team leader; to take actions and to ensure being aligned with project plan.,Record time sheet corresponding to each task and bug.,Perform other required related tasks.,"
